shot_id1,player1,stroke_type1,spin_type1,shot_id2,player2,stroke_type2,spin_type2,dtw_distance
carlos_alcaraz_bh_ts2_17,Carlos Alcaraz,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,88.89761279064676
carlos_alcaraz_bh_ts2_18,Carlos Alcaraz,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,97.50019447966068
roger_federer_bh_ts1_02,Roger Federer,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,110.55767498692185
novak_djokovic_bh_ts2_10,Novak Djokovic,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,111.45932741765114
carlos_alcaraz_bh_ts2_13,Carlos Alcaraz,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,121.58162163412338
carlos_alcaraz_bh_ts2_15,Carlos Alcaraz,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,123.78873576583108
carlos_alcaraz_bh_ts2_14,Carlos Alcaraz,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,125.7592560464243
novak_djokovic_bh_ts2_12,Novak Djokovic,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,126.05815782797126
carlos_alcaraz_bh_ts2_16,Carlos Alcaraz,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,136.34421643102846
novak_djokovic_bh_ts2_11,Novak Djokovic,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,152.2470300407579
novak_djokovic_bh_ts2_01,Novak Djokovic,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,152.82941370804727
carlos_alcaraz_bh_ft2_02,Carlos Alcaraz,Backhand 2H,Flat,carlos_alcaraz_bh_ft2_01,Carlos Alcaraz,Backhand 2H,Flat,112.15954904780483
novak_djokovic_bh_ft2_04,Novak Djokovic,Backhand 2H,Flat,novak_djokovic_bh_ft2_03,Novak Djokovic,Backhand 2H,Flat,129.67618241469154
rafael_nadal_bh_ts2_08,Rafael Nadal,Backhand 2H,Topspin,rafael_nadal_bh_ts2_02,Rafael Nadal,Backhand 2H,Topspin,32.913606205227055
rafael_nadal_bh_ts2_03,Rafael Nadal,Backhand 2H,Topspin,rafael_nadal_bh_ts2_02,Rafael Nadal,Backhand 2H,Topspin,36.01630835178186
rafael_nadal_bh_ts2_26,Rafael Nadal,Backhand 2H,Topspin,rafael_nadal_bh_ts2_02,Rafael Nadal,Backhand 2H,Topspin,36.08677535525384
rafael_nadal_bh_ts2_29,Rafael Nadal,Backhand 2H,Topspin,rafael_nadal_bh_ts2_02,Rafael Nadal,Backhand 2H,Topspin,36.40665628541823
rafael_nadal_bh_ts2_04,Rafael Nadal,Backhand 2H,Topspin,rafael_nadal_bh_ts2_02,Rafael Nadal,Backhand 2H,Topspin,37.15915715602655
rafael_nadal_bh_ts2_23,Rafael Nadal,Backhand 2H,Topspin,rafael_nadal_bh_ts2_02,Rafael Nadal,Backhand 2H,Topspin,41.08260091844293
rafael_nadal_bh_ts2_07,Rafael Nadal,Backhand 2H,Topspin,rafael_nadal_bh_ts2_02,Rafael Nadal,Backhand 2H,Topspin,43.96893168006859
rafael_nadal_bh_ts2_06,Rafael Nadal,Backhand 2H,Topspin,rafael_nadal_bh_ts2_02,Rafael Nadal,Backhand 2H,Topspin,44.027694919707166
rafael_nadal_bh_ts2_27,Rafael Nadal,Backhand 2H,Topspin,rafael_nadal_bh_ts2_02,Rafael Nadal,Backhand 2H,Topspin,44.566047513366954
novak_djokovic_bh_ts2_09,Novak Djokovic,Backhand 2H,Topspin,novak_djokovic_bh_ts2_02,Novak Djokovic,Backhand 2H,Topspin,47.42457060776285
rafael_nadal_bh_ts2_05,Rafael Nadal,Backhand 2H,Topspin,rafael_nadal_bh_ts2_02,Rafael Nadal,Backhand 2H,Topspin,48.03778414457912
rafael_nadal_bh_ts2_24,Rafael Nadal,Backhand 2H,Topspin,rafael_nadal_bh_ts2_02,Rafael Nadal,Backhand 2H,Topspin,48.32622385627194
rafael_nadal_bh_ts2_22,Rafael Nadal,Backhand 2H,Topspin,rafael_nadal_bh_ts2_02,Rafael Nadal,Backhand 2H,Topspin,52.11809112532549
rafael_nadal_bh_ts2_25,Rafael Nadal,Backhand 2H,Topspin,rafael_nadal_bh_ts2_02,Rafael Nadal,Backhand 2H,Topspin,52.191772559919045
rafael_nadal_bh_ts2_20,Rafael Nadal,Backhand 2H,Topspin,rafael_nadal_bh_ts2_02,Rafael Nadal,Backhand 2H,Topspin,53.004516937549184
rafael_nadal_bh_ts2_28,Rafael Nadal,Backhand 2H,Topspin,rafael_nadal_bh_ts2_02,Rafael Nadal,Backhand 2H,Topspin,59.55874039329679
carlos_alcaraz_bh_ts2_05,Carlos Alcaraz,Backhand 2H,Topspin,novak_djokovic_bh_ts2_02,Novak Djokovic,Backhand 2H,Topspin,63.63730894215304
novak_djokovic_bh_ts2_05,Novak Djokovic,Backhand 2H,Topspin,novak_djokovic_bh_ts2_02,Novak Djokovic,Backhand 2H,Topspin,65.69424456062069
rafael_nadal_bh_ts2_09,Rafael Nadal,Backhand 2H,Topspin,rafael_nadal_bh_ts2_02,Rafael Nadal,Backhand 2H,Topspin,67.0481431339383
novak_djokovic_bh_ts2_08,Novak Djokovic,Backhand 2H,Topspin,carlos_alcaraz_bh_ts2_02,Carlos Alcaraz,Backhand 2H,Topspin,68.55763660579993
carlos_alcaraz_bh_ts2_08,Carlos Alcaraz,Backhand 2H,Topspin,carlos_alcaraz_bh_ts2_02,Carlos Alcaraz,Backhand 2H,Topspin,73.6402448317356
carlos_alcaraz_bh_ts2_03,Carlos Alcaraz,Backhand 2H,Topspin,novak_djokovic_bh_ts2_02,Novak Djokovic,Backhand 2H,Topspin,80.29340164774847
carlos_alcaraz_bh_ts2_20,Carlos Alcaraz,Backhand 2H,Topspin,carlos_alcaraz_bh_ts2_02,Carlos Alcaraz,Backhand 2H,Topspin,86.77549051879426
carlos_alcaraz_bh_ts2_04,Carlos Alcaraz,Backhand 2H,Topspin,novak_djokovic_bh_ts2_02,Novak Djokovic,Backhand 2H,Topspin,91.34386867773017
novak_djokovic_bh_ts2_07,Novak Djokovic,Backhand 2H,Topspin,rafael_nadal_bh_ts2_02,Rafael Nadal,Backhand 2H,Topspin,92.18593450511752
novak_djokovic_bh_ts2_03,Novak Djokovic,Backhand 2H,Topspin,carlos_alcaraz_bh_ts2_02,Carlos Alcaraz,Backhand 2H,Topspin,96.27992945867726
novak_djokovic_bh_ts2_06,Novak Djokovic,Backhand 2H,Topspin,rafael_nadal_bh_ts2_02,Rafael Nadal,Backhand 2H,Topspin,104.05094988150901
carlos_alcaraz_bh_ts2_09,Carlos Alcaraz,Backhand 2H,Topspin,novak_djokovic_bh_ts2_02,Novak Djokovic,Backhand 2H,Topspin,114.96847954044841
novak_djokovic_bh_ts2_04,Novak Djokovic,Backhand 2H,Topspin,novak_djokovic_bh_ts2_02,Novak Djokovic,Backhand 2H,Topspin,150.7700476866922
carlos_alcaraz_bh_ts2_07,Carlos Alcaraz,Backhand 2H,Topspin,carlos_alcaraz_bh_ts2_02,Carlos Alcaraz,Backhand 2H,Topspin,181.42551575730968
roger_federer_fh_ts_14,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,18.076828248678513
roger_federer_fh_ts_09,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,18.128700956111295
roger_federer_fh_ts_07,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,21.033908214822304
roger_federer_fh_ts_12,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,22.439451559956623
roger_federer_fh_ts_18,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,22.479994927376904
roger_federer_fh_ts_10,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,22.910460517873386
roger_federer_fh_ts_13,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,25.780482760307915
roger_federer_fh_ts_15,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,27.076982808413057
roger_federer_fh_ts_29,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,27.622502494291883
roger_federer_fh_ts_20,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,29.06209814221829
roger_federer_fh_ts_19,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,32.85295104725584
rafael_nadal_fh_ts_57,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,33.768751700941806
rafael_nadal_fh_ts_46,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,34.053639530450404
rafael_nadal_fh_ts_73,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,34.50974809283012
rafael_nadal_fh_ts_67,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,34.89485928478906
rafael_nadal_fh_ts_18,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,35.742124756604326
roger_federer_fh_ts_17,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,36.10871639041704
rafael_nadal_fh_ts_80,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,36.264840319560086
rafael_nadal_fh_ts_21,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,36.939975165054314
roger_federer_fh_ts_08,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,37.275647176142144
rafael_nadal_fh_ts_54,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,37.614862826717314
roger_federer_fh_ts_30,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,37.640831940034374
rafael_nadal_fh_ts_36,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,38.01005604607777
rafael_nadal_fh_ts_37,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,38.525088944489596
roger_federer_fh_ts_16,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,39.32937254075306
rafael_nadal_fh_ts_24,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,39.74943002814226
rafael_nadal_fh_ts_86,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,39.75951096766355
rafael_nadal_fh_ts_50,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,40.10992862150535
rafael_nadal_fh_ts_16,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,40.25902893263094
roger_federer_fh_ts_04,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,40.3602580885926
rafael_nadal_fh_ts_42,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,40.40328618938228
rafael_nadal_fh_ts_59,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,40.80034033252132
rafael_nadal_fh_ts_10,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,40.86285662292378
rafael_nadal_fh_ts_61,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,41.30539306642134
rafael_nadal_fh_ts_52,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,41.53865547982933
roger_federer_fh_ts_24,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,41.834578768705775
rafael_nadal_fh_ts_05,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,42.12161737485957
rafael_nadal_fh_ts_17,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,42.171886304014485
rafael_nadal_fh_ts_19,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,42.33849216910653
rafael_nadal_fh_ts_04,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,42.45278200004789
rafael_nadal_fh_ts_74,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,42.764447043115865
rafael_nadal_fh_ts_15,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,43.207487275110594
rafael_nadal_fh_ts_48,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,43.253878856222514
rafael_nadal_fh_ts_20,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,43.43729287409443
rafael_nadal_fh_ts_22,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,43.591074627019914
rafael_nadal_fh_ts_31,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,43.64457021570819
rafael_nadal_fh_ts_45,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,43.68601238298055
rafael_nadal_fh_ts_77,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,43.83824951174266
rafael_nadal_fh_ts_13,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,44.04030002170605
rafael_nadal_fh_ts_81,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,44.102821860251694
roger_federer_fh_ts_03,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,44.36187927178408
rafael_nadal_fh_ts_34,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,44.425913684665694
rafael_nadal_fh_ts_63,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,44.524737351147145
roger_federer_fh_ts_05,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,44.82476775009225
rafael_nadal_fh_ts_14,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,45.059843075033996
rafael_nadal_fh_ts_40,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,45.463115409749406
rafael_nadal_fh_ts_02,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,45.49723289060417
rafael_nadal_fh_ts_33,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,46.47643809828964
rafael_nadal_fh_ts_08,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,46.541562711868295
rafael_nadal_fh_ts_25,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,46.5892426583182
rafael_nadal_fh_ts_56,Rafael Nadal,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,47.45058299369879
rafael_nadal_fh_ts_88,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,47.546122221069254
roger_federer_fh_ts_01,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,48.084454447254956
rafael_nadal_fh_ts_64,Rafael Nadal,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,48.342540459208756
rafael_nadal_fh_ts_87,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,48.48240220646898
roger_federer_fh_ts_26,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,48.90948140584237
